Dis,Terminal ID,Terminal,Time slot,Nb of releases,Nb of bike returns,Balance
Vilnius,12,12-V. KUDIRKOS A.,09H - 10H,1641,1692,51
Vilnius,12,12-V. KUDIRKOS A.,10H - 11H,1028,994,-34
Vilnius,12,12-V. KUDIRKOS A.,11H - 12H,1183,1283,100
Vilnius,12,12-V. KUDIRKOS A.,12H - 13H,2018,1744,-274
Vilnius,12,12-V. KUDIRKOS A.,13H - 14H,1538,1631,93
Vilnius,12,12-V. KUDIRKOS A.,14H - 15H,1441,1524,83
Vilnius,12,12-V. KUDIRKOS A.,15H - 16H,1421,1403,-18
Vilnius,12,12-V. KUDIRKOS A.,16H - 17H,1637,1640,3
Vilnius,12,12-V. KUDIRKOS A.,17H - 18H,2768,2405,-363
Vilnius,12,12-V. KUDIRKOS A.,18H - 19H,2506,2449,-57
Vilnius,12,12-V. KUDIRKOS A.,19H - 20H,1655,1689,34
Vilnius,12,12-V. KUDIRKOS A.,20H - 21H,1275,1399,124
Vilnius,12,12-V. KUDIRKOS A.,21H - 22H,1116,988,-128
Vilnius,12,12-V. KUDIRKOS A.,22H - 23H,757,539,-218
Vilnius,12,12-V. KUDIRKOS A.,23H - 24H,415,351,-64
Vilnius,13,13-A. VIENUOLIO,00H - 01H,143,81,-62
Vilnius,13,13-A. VIENUOLIO,01H - 02H,101,44,-57
Vilnius,13,13-A. VIENUOLIO,02H - 03H,59,45,-14
Vilnius,13,13-A. VIENUOLIO,03H - 04H,62,31,-31
Vilnius,13,13-A. VIENUOLIO,04H - 05H,28,31,3
Vilnius,13,13-A. VIENUOLIO,05H - 06H,30,18,-12
Vilnius,13,13-A. VIENUOLIO,06H - 07H,349,122,-227
Vilnius,13,13-A. VIENUOLIO,07H - 08H,360,569,209
Vilnius,13,13-A. VIENUOLIO,08H - 09H,687,1356,669
Vilnius,13,13-A. VIENUOLIO,09H - 10H,1010,1114,104
Vilnius,13,13-A. VIENUOLIO,10H - 11H,705,626,-79
Vilnius,13,13-A. VIENUOLIO,11H - 12H,665,696,31
Vilnius,13,13-A. VIENUOLIO,12H - 13H,939,893,-46
Vilnius,13,13-A. VIENUOLIO,13H - 14H,724,709,-15
Vilnius,13,13-A. VIENUOLIO,14H - 15H,686,650,-36
Vilnius,13,13-A. VIENUOLIO,15H - 16H,701,658,-43
Vilnius,13,13-A. VIENUOLIO,16H - 17H,939,844,-95
Vilnius,13,13-A. VIENUOLIO,17H - 18H,1380,1166,-214
Vilnius,13,13-A. VIENUOLIO,18H - 19H,1160,1256,96
Vilnius,13,13-A. VIENUOLIO,19H - 20H,802,1003,201
Vilnius,13,13-A. VIENUOLIO,20H - 21H,669,592,-77
Vilnius,13,13-A. VIENUOLIO,21H - 22H,563,461,-102
Vilnius,13,13-A. VIENUOLIO,22H - 23H,380,242,-138
Vilnius,13,13-A. VIENUOLIO,23H - 24H,218,146,-72
Vilnius,14,14-LUKIŠKIU A.,00H - 01H,120,130,10
Vilnius,14,14-LUKIŠKIU A.,01H - 02H,68,76,8
Vilnius,14,14-LUKIŠKIU A.,02H - 03H,53,42,-11
Vilnius,14,14-LUKIŠKIU A.,03H - 04H,30,39,9
Vilnius,14,14-LUKIŠKIU A.,04H - 05H,21,23,2
Vilnius,14,14-LUKIŠKIU A.,05H - 06H,16,9,-7
Vilnius,14,14-LUKIŠKIU A.,06H - 07H,238,158,-80
Vilnius,14,14-LUKIŠKIU A.,07H - 08H,505,746,241
Vilnius,14,14-LUKIŠKIU A.,08H - 09H,1133,1441,308
Vilnius,14,14-LUKIŠKIU A.,09H - 10H,886,853,-33
Vilnius,14,14-LUKIŠKIU A.,10H - 11H,652,608,-44
Vilnius,14,14-LUKIŠKIU A.,11H - 12H,978,752,-226
Vilnius,14,14-LUKIŠKIU A.,12H - 13H,1155,1232,77
Vilnius,14,14-LUKIŠKIU A.,13H - 14H,934,1020,86
Vilnius,14,14-LUKIŠKIU A.,14H - 15H,917,835,-82
Vilnius,14,14-LUKIŠKIU A.,15H - 16H,985,928,-57
Vilnius,14,14-LUKIŠKIU A.,16H - 17H,1303,1113,-190
Vilnius,14,14-LUKIŠKIU A.,17H - 18H,1914,1556,-358
Vilnius,14,14-LUKIŠKIU A.,18H - 19H,1308,1420,112
Vilnius,14,14-LUKIŠKIU A.,19H - 20H,1069,1123,54
Vilnius,14,14-LUKIŠKIU A.,20H - 21H,779,871,92
Vilnius,14,14-LUKIŠKIU A.,21H - 22H,659,643,-16
Vilnius,14,14-LUKIŠKIU A.,22H - 23H,406,488,82
Vilnius,14,14-LUKIŠKIU A.,23H - 24H,223,254,31
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,00H - 01H,83,233,150
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,01H - 02H,44,141,97
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,02H - 03H,26,92,66
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,03H - 04H,29,58,29
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,04H - 05H,7,36,29
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,05H - 06H,4,37,33
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,06H - 07H,716,79,-637
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,07H - 08H,832,802,-30
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,08H - 09H,1448,1413,-35
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,09H - 10H,918,1380,462
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,10H - 11H,625,531,-94
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,11H - 12H,762,550,-212
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,12H - 13H,926,968,42
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,13H - 14H,802,939,137
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,14H - 15H,744,729,-15
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,15H - 16H,708,715,7
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,16H - 17H,1166,908,-258
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,17H - 18H,1686,1304,-382
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,18H - 19H,1558,1394,-164
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,19H - 20H,1029,1157,128
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,20H - 21H,786,859,73
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,21H - 22H,461,649,188
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,22H - 23H,281,498,217
Vilnius,15,15-M. MAŽVYDO BIBLIOTEKA,23H - 24H,157,330,173
Vilnius,16,16-TAURO KALNAS,00H - 01H,41,52,11
Vilnius,16,16-TAURO KALNAS,01H - 02H,20,37,17
Vilnius,16,16-TAURO KALNAS,02H - 03H,13,26,13
Vilnius,16,16-TAURO KALNAS,03H - 04H,8,15,7
Vilnius,16,16-TAURO KALNAS,04H - 05H,6,6,0
Vilnius,16,16-TAURO KALNAS,05H - 06H,3,11,8
Vilnius,16,16-TAURO KALNAS,06H - 07H,152,79,-73
Vilnius,16,16-TAURO KALNAS,07H - 08H,285,554,269
Vilnius,16,16-TAURO KALNAS,08H - 09H,572,782,210
Vilnius,16,16-TAURO KALNAS,09H - 10H,389,357,-32
Vilnius,16,16-TAURO KALNAS,10H - 11H,281,181,-100
Vilnius,16,16-TAURO KALNAS,11H - 12H,373,211,-162
Vilnius,16,16-TAURO KALNAS,12H - 13H,452,454,2
Vilnius,16,16-TAURO KALNAS,13H - 14H,259,343,84
Vilnius,16,16-TAURO KALNAS,14H - 15H,229,294,65
Vilnius,16,16-TAURO KALNAS,15H - 16H,393,362,-31
Vilnius,16,16-TAURO KALNAS,16H - 17H,815,414,-401
Vilnius,16,16-TAURO KALNAS,17H - 18H,602,563,-39
Vilnius,16,16-TAURO KALNAS,18H - 19H,400,454,54
Vilnius,16,16-TAURO KALNAS,19H - 20H,298,350,52
